City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,iqaluit,63.7506,-68.5145,5.85,100,100,4.63,CA,1691635910
161,viqueque,-8.8673,126.3658,28.37,58,51,4.87,TL,1691635910
162,chengde,40.9725,117.9361,27.98,54,99,2.1,CN,1691635910
163,edinburgh of the seven seas,-37.0676,-12.3116,10.57,54,59,9.78,SH,1691635911
164,antsiranana,-12.2787,49.2917,19.63,85,0,2.05,MG,1691635911
165,nueva gerona,21.8833,-82.8,30.01,70,4,1.66,CU,1691635912
166,hithadhoo,-0.6,73.0833,27.25,75,67,2.26,MV,1691635912
167,bodo,67.28,14.405,16.36,64,0,7.2,NO,1691635912
168,urzhar,47.093,81.6294,27.2,38,0,3.04,KZ,1691635913
169,usogorsk,63.4106,48.6872,19.07,69,14,0.09,RU,1691635913
170,onokhoy,51.932,108.0747,20.86,86,100,3.18,RU,1691635913
171,darhan,49.4867,105.9228,23.58,72,86,2.23,MN,1691635914
172,gadzhiyevo,69.2551,33.3362,17.89,77,0,3.53,RU,1691635914
173,carnarvon,-24.8667,113.6333,23.44,54,2,2.95,AU,1691635818
174,montrose,38.4166,-108.2673,22.67,26,21,2.48,US,1691635687
175,al bawiti,28.3492,28.8659,23.98,62,0,2.81,EG,1691635915
176,udachny,66.4167,112.4,18.03,48,91,7.68,RU,1691635915
177,maragogi,-9.0122,-35.2225,23.45,78,7,4.19,BR,1691635916
178,dwarka,22.2394,68.9678,27.56,82,100,9.17,IN,1691635916
179,yen vinh,18.6667,105.6667,31.42,63,90,3.94,VN,1691635916
180,conceicao do araguaia,-8.2578,-49.2647,25.99,38,14,1.58,BR,1691635917
181,guiuan,11.0333,125.7247,29.02,75,92,4.77,PH,1691635917
182,loukhi,66.0764,33.0381,15.72,78,21,2.65,RU,1691635918
183,margaret river,-33.95,115.0667,11.91,79,100,1.99,AU,1691635408
184,vikhorevka,56.1201,101.1636,20.77,49,100,3.21,RU,1691635918
185,istgah-e rah ahan-e garmsar,35.2346,52.3094,28.88,25,0,2.19,IR,1691635635
186,wailua homesteads,22.0669,-159.378,31.24,75,100,9.26,US,1691635919
187,naze,28.3667,129.4833,28.51,78,21,5.49,JP,1691635879
188,vilyuchinsk,52.9306,158.4028,23.15,72,6,3.49,RU,1691635920
189,port hedland,-20.3167,118.5667,28.03,28,2,4.12,AU,1691635920
190,bardai,11.65,7.2333,20.81,95,99,3.91,NG,1691635920
191,pudozh,61.8099,36.5345,17.38,84,43,1.54,RU,1691635921
192,iskateley,67.6803,53.1512,13.55,75,0,2.75,RU,1691635921
193,manokwari,-0.8667,134.0833,27.49,77,100,2.6,ID,1691635759
194,lethem,3.3803,-59.7968,26.38,70,96,2.18,GY,1691635922
195,saint-philippe,-21.3585,55.7679,19.77,82,41,3.36,RE,1691635922
196,griffith,41.5284,-87.4237,22.25,89,40,2.57,US,1691635922
197,portland,45.5234,-122.6762,25.97,68,40,4.63,US,1691635484
198,stettler,52.3168,-112.7186,15.86,100,100,1.54,CA,1691635923
199,daru,-9.0763,143.2092,24.26,84,100,7.42,PG,1691635923
200,turpan,42.9333,89.1667,36.35,20,3,1.6,CN,1691635924
201,goundam,16.4145,-3.6708,33.05,42,99,6.41,ML,1691635924
202,ribeira brava,32.65,-17.0667,24.35,74,2,1.52,PT,1691635924
203,coahuayana de hidalgo,18.7,-103.6583,25.18,78,87,2.05,MX,1691635925
204,coquimbo,-29.9533,-71.3436,14.85,82,0,4.12,CL,1691635925
205,northam,51.0333,-4.2167,17.01,86,1,4.45,GB,1691635926
206,igarka,67.4667,86.5833,16.81,80,99,0.74,RU,1691635926
207,tolanaro,-25.0319,46.9987,19.04,94,40,2.06,MG,1691635926
208,mersa matruh,31.3525,27.2453,25.11,78,0,2.57,EG,1691635927
209,puerto baquerizo moreno,-0.9,-89.6,23.64,81,76,2.83,EC,1691635927
210,touros,-5.1989,-35.4608,23.62,84,53,5.87,BR,1691635928
211,mount gambier,-37.8333,140.7667,12.21,68,100,3.77,AU,1691635909
212,georgetown,5.4112,100.3354,26.96,87,40,1.54,MY,1691635783
213,avarua,-21.2078,-159.775,25.03,65,75,7.72,CK,1691635928
214,quitilipi,-26.8691,-60.2168,19.68,75,100,2.73,AR,1691635929
215,armacao de buzios,-22.7469,-41.8817,22.03,86,55,6.86,BR,1691635705
216,tarija,-21.5355,-64.7296,14.95,51,0,1.54,BO,1691635930
217,puerto lempira,15.2667,-83.7667,26.8,84,59,3.05,HN,1691635930
218,nova sintra,14.8667,-24.7167,22.73,73,76,7.03,CV,1691635930
219,abashiri,44.0213,144.2697,26.16,83,75,4.63,JP,1691635931
220,sake,-1.5736,29.045,16.41,75,20,0.31,CD,1691635931
221,dong ha,16.8163,107.1003,34.35,48,100,7.18,VN,1691635931
222,lihue,21.9789,-159.3672,31.58,68,100,9.26,US,1691635885
223,cooper's town,26.8667,-77.5167,29.91,76,99,4.36,BS,1691635932
224,jardim do serido,-6.5844,-36.7744,22.34,57,10,8.48,BR,1691635932
225,isangel,-19.55,169.2667,21.53,57,1,8.66,VU,1691635933
226,sao francisco,-15.9486,-44.8644,22.07,52,0,4.19,BR,1691635933
227,conception bay south,47.4999,-52.9981,13.08,94,100,8.58,CA,1691635769
228,smithers,54.7804,-127.1743,18.18,45,75,4.63,CA,1691635934
229,taro,-8.3862,115.28,22.0,51,44,1.72,ID,1691635934
230,pingxiang,27.6167,113.85,30.69,76,13,1.07,CN,1691635935
231,codrington,-38.2667,141.9667,12.28,73,100,6.41,AU,1691635935
232,afaahiti,-17.75,-149.2833,25.93,72,97,7.01,PF,1691635935
233,yueyang,29.3333,113.0919,31.76,60,6,3.12,CN,1691635818
234,flin flon,54.7682,-101.865,13.23,55,15,2.51,CA,1691635936
235,bowen,-20.0167,148.2333,22.0,60,29,7.1,AU,1691635936
236,salqin,36.1381,36.4532,24.04,88,1,2.35,SY,1691635936
237,bokoro,12.3807,17.0568,22.73,91,100,2.21,TD,1691635937
238,tadmur,34.5608,38.2805,25.97,56,0,3.07,SY,1691635937
239,garh maharaja,30.8339,71.9053,34.9,42,43,6.03,PK,1691635938
240,kielce,50.8703,20.6275,12.72,72,100,0.93,PL,1691635938
241,namdrik,5.5994,168.1028,28.48,70,100,2.74,MH,1691635938
242,nuuk,64.1835,-51.7216,4.34,100,100,5.14,GL,1691635939
243,akureyri,65.6835,-18.0878,7.96,76,75,1.03,IS,1691635939
244,gremda,34.75,10.7833,25.11,61,0,1.54,TN,1691635939
245,aldama,22.9167,-98.0667,29.16,92,11,2.04,MX,1691635940
246,ak'ordat,15.5486,37.8867,27.24,72,97,2.21,ER,1691635940
247,tahoua,14.8888,5.2692,26.82,71,20,3.47,NE,1691635940
248,tura,25.5198,90.2201,26.15,91,100,1.41,IN,1691635941
249,nar'yan-mar,67.6713,53.087,13.61,75,0,2.76,RU,1691635941
250,uruzgan,32.8333,66.0,27.61,13,0,1.71,AF,1691635941
251,greymouth,-42.4667,171.2,8.89,47,0,1.51,NZ,1691635942
252,saipan,15.1355,145.701,26.47,100,100,5.66,MP,1691635942
253,korla,41.7597,86.1469,31.8,19,0,7.25,CN,1691635943
254,olinda,-8.0089,-34.8553,25.85,73,40,6.69,BR,1691635859
255,farafangana,-22.8167,47.8333,20.04,85,63,1.04,MG,1691635943
256,mossel bay,-34.1831,22.146,10.96,74,0,1.58,ZA,1691635944
257,sungailiat,-1.85,106.1333,29.33,63,74,5.26,ID,1691635944
258,yermakovskoye,53.2831,92.4003,23.87,46,39,1.41,RU,1691635944
259,upington,-28.4478,21.2561,15.21,29,0,5.14,ZA,1691635945
260,pizarro,4.9533,-77.366,26.13,87,100,0.92,CO,1691635945
261,klaksvik,62.2266,-6.589,8.51,77,40,2.46,FO,1691635946
262,troitsko-pechorsk,62.7084,56.1964,15.84,67,99,1.95,RU,1691635946
263,selibaby,15.159,-12.1829,30.1,50,100,6.41,MR,1691635946
264,thyolo,-16.0678,35.1405,11.86,96,69,1.79,MW,1691635947
265,benghazi,32.1167,20.0667,25.64,67,0,5.13,LY,1691635947
266,kapuskasing,49.4169,-82.4331,18.05,82,75,7.2,CA,1691635947
267,crane,31.3974,-102.3501,33.32,22,48,2.61,US,1691635948
268,klyuchi,52.2667,79.1667,23.52,39,87,2.56,RU,1691635948
269,mananjary,-21.2167,48.3333,18.35,92,41,1.35,MG,1691635948
270,sisimiut,66.9395,-53.6735,4.88,90,100,3.5,GL,1691635949
271,port augusta,-32.5,137.7667,16.1,50,0,4.02,AU,1691635949
272,port saint john's,-31.6229,29.5448,16.16,88,39,3.81,ZA,1691635949
273,cartagena,10.3997,-75.5144,28.79,89,40,3.6,CO,1691635893
274,angaur state,6.906,134.13,28.28,80,100,8.68,PW,1691635950
275,coyah,9.75,-13.4167,24.69,94,99,0.48,GN,1691635950
276,pohang,36.0322,129.365,26.72,94,100,9.93,KR,1691635950
277,yaren,-0.5472,166.916,28.2,72,63,1.81,NR,1691635951
278,sinabang,2.4803,96.3801,25.66,87,100,1.75,ID,1691635951
279,gitarama,-2.0744,29.7567,17.7,60,8,1.18,RW,1691635952
280,shwebo,22.5667,95.7,24.05,91,100,4.28,MM,1691635952
281,banda aceh,5.5577,95.3222,29.55,66,84,5.61,ID,1691635952
282,taroa,8.7058,171.2275,27.96,76,30,5.12,MH,1691635953
283,cabedelo,-6.9811,-34.8339,23.37,83,27,6.13,BR,1691635953
284,corinth,37.9407,22.9573,23.27,62,0,0.57,GR,1691635953
285,porto novo,6.4965,2.6036,24.9,87,100,3.68,BJ,1691635954
286,zhanaozen,43.3,52.8,29.77,34,1,1.74,KZ,1691635954
287,borovskoy,53.8,64.15,19.52,63,8,4.89,KZ,1691635954
288,cabo san lucas,22.8909,-109.9124,31.61,78,40,5.14,MX,1691635717
289,tobol,52.6844,62.5794,17.61,70,95,4.91,KZ,1691635955
290,pangody,65.85,74.4859,10.91,68,89,10.08,RU,1691635955
291,mar del plata,-38.0023,-57.5575,12.83,95,75,4.12,AR,1691635955
292,fortuna,40.5982,-124.1573,19.4,89,100,3.6,US,1691635956
293,zuunmod,47.7069,106.9528,18.57,71,96,3.77,MN,1691635956
294,grand gaube,-20.0064,57.6608,21.88,69,0,1.34,MU,1691635956
295,cikampek,-6.4197,107.4558,30.33,55,56,1.46,ID,1691635957
296,bir el ater,34.7449,8.0602,21.76,38,0,2.12,DZ,1691635957
297,haiku-pauwela,20.9219,-156.3051,29.01,58,20,12.35,US,1691635957
298,rouissat,31.9243,5.3502,32.04,23,0,4.12,DZ,1691635958
299,pamandzi,-12.7967,45.2794,24.88,78,75,6.69,YT,1691635958
300,kiunga,-6.1219,141.2906,28.45,59,90,2.34,PG,1691635958
301,porto velho,-8.7619,-63.9039,25.03,88,0,1.03,BR,1691635821
302,oroqen zizhiqi,50.5667,123.7167,19.8,72,91,2.71,CN,1691635959
303,hun,29.1268,15.9477,23.06,66,0,2.28,LY,1691635960
304,bontang,0.1333,117.5,29.59,65,84,2.6,ID,1691635960
305,kencong,-8.2833,113.3667,27.54,54,39,2.29,ID,1691635960
306,alice springs,-23.7,133.8833,24.75,19,1,6.17,AU,1691635960
307,san antonio de pale,-1.4014,5.6325,23.57,79,95,5.08,GQ,1691635961
308,barah,13.7,30.3667,25.38,70,99,4.4,SD,1691635961
309,marau,-28.4492,-52.2,14.98,98,96,2.42,BR,1691635962
310,cadale,2.7603,46.3222,24.29,86,59,7.19,SO,1691635962
311,tazovsky,67.4667,78.7,7.91,85,100,9.3,RU,1691635962
312,onguday,50.75,86.15,18.03,73,26,1.03,RU,1691635963
313,nelson bay,-32.7167,152.15,23.94,45,3,5.36,AU,1691635963
314,bhatapara,21.7333,81.9333,28.62,63,46,3.89,IN,1691635963
315,salinas,36.6777,-121.6555,19.45,83,100,4.12,US,1691635964
316,tateyama,34.9833,139.8667,28.7,73,74,3.9,JP,1691635748
317,anna regina,7.2644,-58.5077,28.0,74,99,4.83,GY,1691635964
318,ar rutbah,33.0381,40.2848,28.26,22,0,4.3,IQ,1691635965
319,susanville,40.4163,-120.653,26.91,21,0,4.12,US,1691635965
320,arkhangel'sk,64.5401,40.5433,17.42,85,0,2.21,RU,1691635965
321,nizhnesortymskiy,62.4397,71.7603,13.13,64,0,10.88,RU,1691635966
322,ulladulla,-35.35,150.4667,16.25,53,83,7.53,AU,1691635854
323,yatou,37.15,122.3833,29.32,70,2,9.04,CN,1691635966
324,itamaraca,-7.7478,-34.8256,26.03,77,4,4.82,BR,1691635966
325,gilgit,35.9221,74.3087,28.89,42,0,1.39,PK,1691635967
326,thai binh,20.45,106.3333,31.87,68,87,3.77,VN,1691635967
327,minas de marcona,-15.2119,-75.1103,12.61,88,27,4.72,PE,1691635967
328,bulungu,-4.55,18.6,23.64,57,45,1.46,CD,1691635969
329,cockburn town,21.4612,-71.1419,28.7,79,78,7.19,TC,1691635969
330,sol'-iletsk,51.1631,54.9918,19.58,61,0,6.35,RU,1691635969
331,macia,-25.0269,33.0989,17.91,78,100,1.38,MZ,1691635970
332,reggane,26.7158,0.1714,33.89,13,0,5.08,DZ,1691635970
333,qamdo,31.1667,97.2333,15.6,51,84,2.17,CN,1691635970
334,anchorage,61.2181,-149.9003,17.05,86,100,2.57,US,1691635835
335,el obeid,13.1842,30.2167,24.95,75,87,4.7,SD,1691635971
336,behompy,-23.2496,43.8557,17.95,92,15,3.63,MG,1691635972
337,palikir - national government center,6.9248,158.1611,29.47,79,100,2.57,FM,1691635972
338,lagunas,-5.2269,-75.6753,25.19,81,75,1.28,PE,1691635972
339,sault ste. marie,46.5168,-84.3333,17.31,94,0,1.54,CA,1691635382
340,vegreville,53.5001,-112.0518,16.03,82,100,4.12,CA,1691635973
341,red hill,33.9996,-79.2581,26.1,77,92,1.69,US,1691635973
342,susuman,62.7833,148.1667,15.44,45,6,1.18,RU,1691635973
343,divrigi,39.371,38.1137,24.61,41,0,0.78,TR,1691635974
344,magadan,59.5667,150.8,21.41,55,6,2.96,RU,1691635974
345,pengcheng,36.4311,114.17,30.69,66,15,2.3,CN,1691635974
346,baissa,7.2333,10.6333,21.38,99,100,0.51,NG,1691635975
347,antonio enes,-16.2325,39.9086,21.02,81,13,4.06,MZ,1691635975
348,lerwick,60.1545,-1.1494,11.0,78,51,5.01,GB,1691635976
349,port douglas,-16.4833,145.4667,22.61,72,95,7.31,AU,1691635976
350,murrells inlet,33.551,-79.0414,27.03,86,0,1.54,US,1691635677
351,paramirim,-13.4425,-42.2389,18.92,69,0,2.57,BR,1691635977
352,la'ie,21.6477,-157.9253,30.98,67,6,8.56,US,1691635977
353,iargara,46.4275,28.4367,16.72,60,100,1.71,MD,1691635977
354,anadyr,64.75,177.4833,13.89,67,75,5.0,RU,1691635977
355,hovd,48.0056,91.6419,19.38,57,7,2.63,MN,1691635978
356,bhamo,24.2667,97.2333,25.29,98,97,0.22,MM,1691635978
357,nur-sultan,51.1801,71.446,20.97,64,40,2.0,KZ,1691635978
358,praia da vitoria,38.7333,-27.0667,22.14,94,40,2.75,PT,1691635979
